sale_id,site_id,product_id,business_date,qty,revenue,channel
S_2025-11-17_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-17,167,0.0,dine_in
S_2025-11-18_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-18,39,10725.0,dine_in
S_2025-11-18_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-18,30,6300.0,dine_in
S_2025-11-18_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-18,30,7050.0,dine_in
S_2025-11-18_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-18,34,6120.0,dine_in
S_2025-11-18_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-18,21,4620.0,dine_in
S_2025-11-18_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-18,99,4752.0,dine_in
S_2025-11-18_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-18,76,2128.0,dine_in
S_2025-11-18_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-18,36,4680.0,dine_in
S_2025-11-18_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-18,31,4495.0,dine_in
S_2025-11-18_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-18,13,5005.0,dine_in
S_2025-11-18_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-18,22,3740.0,dine_in
S_2025-11-18_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-18,54,5670.0,dine_in
S_2025-11-18_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-18,25,4625.0,dine_in
S_2025-11-18_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-18,12,3480.0,dine_in
S_2025-11-18_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-18,158,0.0,dine_in
S_2025-11-19_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-19,35,9625.0,dine_in
S_2025-11-19_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-19,29,6090.0,dine_in
S_2025-11-19_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-19,32,7520.0,dine_in
S_2025-11-19_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-19,18,3240.0,dine_in
S_2025-11-19_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-19,28,6160.0,dine_in
S_2025-11-19_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-19,97,4656.0,dine_in
S_2025-11-19_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-19,82,2296.0,dine_in
S_2025-11-19_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-19,32,4160.0,dine_in
S_2025-11-19_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-19,44,6380.0,dine_in
S_2025-11-19_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-19,14,5390.0,dine_in
S_2025-11-19_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-19,14,2380.0,dine_in
S_2025-11-19_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-19,68,7140.0,dine_in
S_2025-11-19_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-19,26,4810.0,dine_in
S_2025-11-19_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-19,21,6090.0,dine_in
S_2025-11-19_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-19,164,0.0,dine_in
S_2025-11-20_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-20,35,9625.0,dine_in
S_2025-11-20_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-20,32,6720.0,dine_in
S_2025-11-20_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-20,50,11750.0,dine_in
S_2025-11-20_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-20,39,7020.0,dine_in
S_2025-11-20_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-20,30,6600.0,dine_in
S_2025-11-20_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-20,138,6624.0,dine_in
S_2025-11-20_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-20,73,2044.0,dine_in
S_2025-11-20_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-20,41,5330.0,dine_in
S_2025-11-20_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-20,52,7540.0,dine_in
S_2025-11-20_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-20,16,6160.0,dine_in
S_2025-11-20_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-20,21,3570.0,dine_in
S_2025-11-20_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-20,49,5145.0,dine_in
S_2025-11-20_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-20,24,4440.0,dine_in
S_2025-11-20_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-20,22,6380.0,dine_in
S_2025-11-20_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-20,188,0.0,dine_in
S_2025-11-21_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-21,46,12650.0,dine_in
S_2025-11-21_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-21,43,9030.0,dine_in
S_2025-11-21_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-21,54,12690.0,dine_in
S_2025-11-21_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-21,37,6660.0,dine_in
S_2025-11-21_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-21,31,6820.0,dine_in
S_2025-11-21_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-21,191,9168.0,dine_in
S_2025-11-21_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-21,145,4060.0,dine_in
S_2025-11-21_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-21,58,7540.0,dine_in
S_2025-11-21_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-21,64,9280.0,dine_in
S_2025-11-21_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-21,22,8470.0,dine_in
S_2025-11-21_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-21,26,4420.0,dine_in
S_2025-11-21_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-21,63,6615.0,dine_in
S_2025-11-21_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-21,34,6290.0,dine_in
S_2025-11-21_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-21,29,8410.0,dine_in
S_2025-11-21_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-21,255,0.0,dine_in
S_2025-11-22_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-22,60,16500.0,dine_in
S_2025-11-22_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-22,34,7140.0,dine_in
S_2025-11-22_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-22,64,15040.0,dine_in
S_2025-11-22_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-22,56,10080.0,dine_in
S_2025-11-22_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-22,22,4840.0,dine_in
S_2025-11-22_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-22,180,8640.0,dine_in
S_2025-11-22_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-22,134,3752.0,dine_in
S_2025-11-22_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-22,57,7410.0,dine_in
S_2025-11-22_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-22,80,11600.0,dine_in
S_2025-11-22_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-22,33,12705.0,dine_in
S_2025-11-22_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-22,36,6120.0,dine_in
S_2025-11-22_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-22,69,7245.0,dine_in
S_2025-11-22_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-22,32,5920.0,dine_in
S_2025-11-22_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-22,30,8700.0,dine_in
S_2025-11-22_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-22,269,0.0,dine_in
S_2025-11-23_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-23,48,13200.0,dine_in
S_2025-11-23_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-23,35,7350.0,dine_in
S_2025-11-23_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-23,54,12690.0,dine_in
S_2025-11-23_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-23,33,5940.0,dine_in
S_2025-11-23_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-23,26,5720.0,dine_in
S_2025-11-23_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-23,141,6768.0,dine_in
S_2025-11-23_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-23,107,2996.0,dine_in
S_2025-11-23_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-23,46,5980.0,dine_in
S_2025-11-23_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-23,63,9135.0,dine_in
S_2025-11-23_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-23,22,8470.0,dine_in
S_2025-11-23_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-23,25,4250.0,dine_in
S_2025-11-23_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-23,54,5670.0,dine_in
S_2025-11-23_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-23,36,6660.0,dine_in
S_2025-11-23_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-23,18,5220.0,dine_in
S_2025-11-23_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-23,215,0.0,dine_in
S_2025-11-24_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-24,34,9350.0,dine_in
S_2025-11-24_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-24,27,5670.0,dine_in
S_2025-11-24_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-24,50,11750.0,dine_in
S_2025-11-24_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-24,25,4500.0,dine_in
S_2025-11-24_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-24,18,3960.0,dine_in
S_2025-11-24_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-24,96,4608.0,dine_in
S_2025-11-24_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-24,84,2352.0,dine_in
S_2025-11-24_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-24,34,4420.0,dine_in
S_2025-11-24_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-24,44,6380.0,dine_in
S_2025-11-24_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-24,15,5775.0,dine_in
S_2025-11-24_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-24,21,3570.0,dine_in
S_2025-11-24_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-24,61,6405.0,dine_in
S_2025-11-24_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-24,26,4810.0,dine_in
S_2025-11-24_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-24,19,5510.0,dine_in
S_2025-11-24_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-24,168,0.0,dine_in
S_2025-11-25_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-25,30,8250.0,dine_in
S_2025-11-25_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-25,23,4830.0,dine_in
S_2025-11-25_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-25,44,10340.0,dine_in
S_2025-11-25_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-25,27,4860.0,dine_in
S_2025-11-25_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-25,20,4400.0,dine_in
S_2025-11-25_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-25,97,4656.0,dine_in
S_2025-11-25_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-25,72,2016.0,dine_in
S_2025-11-25_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-25,34,4420.0,dine_in
S_2025-11-25_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-25,42,6090.0,dine_in
S_2025-11-25_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-25,10,3850.0,dine_in
S_2025-11-25_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-25,23,3910.0,dine_in
S_2025-11-25_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-25,61,6405.0,dine_in
S_2025-11-25_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-25,29,5365.0,dine_in
S_2025-11-25_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-25,12,3480.0,dine_in
S_2025-11-25_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-25,159,0.0,dine_in
S_2025-11-26_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-26,24,6600.0,dine_in
S_2025-11-26_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-26,24,5040.0,dine_in
S_2025-11-26_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-26,37,8695.0,dine_in
S_2025-11-26_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-26,24,4320.0,dine_in
S_2025-11-26_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-26,21,4620.0,dine_in
S_2025-11-26_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-26,133,6384.0,dine_in
S_2025-11-26_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-26,80,2240.0,dine_in
S_2025-11-26_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-26,24,3120.0,dine_in
S_2025-11-26_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-26,41,5945.0,dine_in
S_2025-11-26_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-26,18,6930.0,dine_in
S_2025-11-26_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-26,14,2380.0,dine_in
S_2025-11-26_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-26,75,7875.0,dine_in
S_2025-11-26_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-26,23,4255.0,dine_in
S_2025-11-26_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-26,17,4930.0,dine_in
S_2025-11-26_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-26,168,0.0,dine_in
S_2025-11-27_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-27,34,9350.0,dine_in
S_2025-11-27_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-27,25,5250.0,dine_in
S_2025-11-27_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-27,48,11280.0,dine_in
S_2025-11-27_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-27,27,4860.0,dine_in
S_2025-11-27_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-27,22,4840.0,dine_in
S_2025-11-27_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-27,110,5280.0,dine_in
S_2025-11-27_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-27,94,2632.0,dine_in
S_2025-11-27_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-27,37,4810.0,dine_in
S_2025-11-27_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-27,52,7540.0,dine_in
S_2025-11-27_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-27,19,7315.0,dine_in
S_2025-11-27_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-27,24,4080.0,dine_in
S_2025-11-27_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-27,67,7035.0,dine_in
S_2025-11-27_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-27,33,6105.0,dine_in
S_2025-11-27_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-27,18,5220.0,dine_in
S_2025-11-27_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-27,185,0.0,dine_in
S_2025-11-28_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-28,50,13750.0,dine_in
S_2025-11-28_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-28,31,6510.0,dine_in
S_2025-11-28_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-28,60,14100.0,dine_in
S_2025-11-28_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-28,32,5760.0,dine_in
S_2025-11-28_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-28,31,6820.0,dine_in
S_2025-11-28_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-28,160,7680.0,dine_in
S_2025-11-28_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-28,115,3220.0,dine_in
S_2025-11-28_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-28,51,6630.0,dine_in
S_2025-11-28_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-28,58,8410.0,dine_in
S_2025-11-28_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-28,30,11550.0,dine_in
S_2025-11-28_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-28,18,3060.0,dine_in
S_2025-11-28_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-28,58,6090.0,dine_in
S_2025-11-28_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-28,31,5735.0,dine_in
S_2025-11-28_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-28,23,6670.0,dine_in
S_2025-11-28_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-28,227,0.0,dine_in
S_2025-11-29_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-29,71,19525.0,dine_in
S_2025-11-29_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-29,38,7980.0,dine_in
S_2025-11-29_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-29,57,13395.0,dine_in
S_2025-11-29_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-29,52,9360.0,dine_in
S_2025-11-29_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-29,41,9020.0,dine_in
S_2025-11-29_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-29,183,8784.0,dine_in
S_2025-11-29_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-29,122,3416.0,dine_in
S_2025-11-29_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-29,58,7540.0,dine_in
S_2025-11-29_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-29,72,10440.0,dine_in
S_2025-11-29_DSH_ROGANJOSH,SITE_KIT_01,DSH_ROGANJOSH,2025-11-29,27,10395.0,dine_in
S_2025-11-29_DSH_VEGPULAO,SITE_KIT_01,DSH_VEGPULAO,2025-11-29,27,4590.0,dine_in
S_2025-11-29_DSH_DOSA,SITE_KIT_01,DSH_DOSA,2025-11-29,64,6720.0,dine_in
S_2025-11-29_DSH_MIXVEG,SITE_KIT_01,DSH_MIXVEG,2025-11-29,36,6660.0,dine_in
S_2025-11-29_DSH_FISHCURRY,SITE_KIT_01,DSH_FISHCURRY,2025-11-29,27,7830.0,dine_in
S_2025-11-29_DSH_SIDES,SITE_KIT_01,DSH_SIDES,2025-11-29,265,0.0,dine_in
S_2025-11-30_DSH_CHBIRYANI,SITE_KIT_01,DSH_CHBIRYANI,2025-11-30,66,18150.0,dine_in
S_2025-11-30_DSH_VGBIRYANI,SITE_KIT_01,DSH_VGBIRYANI,2025-11-30,36,7560.0,dine_in
S_2025-11-30_DSH_PBM,SITE_KIT_01,DSH_PBM,2025-11-30,65,15275.0,dine_in
S_2025-11-30_DSH_GOBIMANCH,SITE_KIT_01,DSH_GOBIMANCH,2025-11-30,43,7740.0,dine_in
S_2025-11-30_DSH_PALAK,SITE_KIT_01,DSH_PALAK,2025-11-30,38,8360.0,dine_in
S_2025-11-30_DSH_NAAN,SITE_KIT_01,DSH_NAAN,2025-11-30,152,7296.0,dine_in
S_2025-11-30_DSH_ROTI,SITE_KIT_01,DSH_ROTI,2025-11-30,128,3584.0,dine_in
S_2025-11-30_DSH_JEERARICE,SITE_KIT_01,DSH_JEERARICE,2025-11-30,55,7150.0,dine_in
S_2025-11-30_DSH_DALTADKA,SITE_KIT_01,DSH_DALTADKA,2025-11-30,64,9280.0,dine_in
