batch_id,site_id,product_id,qty_remaining,uom,storage_zone_id,received_at,printed_expiry,intake_grade,life_used,rsl_days,unit_cost,value_on_hand,state
B01656,SITE_KIT_01,ING_PEAS,2.432,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-18,0.952,0.1872,5.69,90.0,218.88,whole
B01657,SITE_KIT_01,ING_MINT,0.887,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-14,0.937,0.4996,1.5,60.0,53.22,whole
B01676,SITE_KIT_01,ING_MINT,0.75,kg,ZN_COLD,2026-02-12T07:00:00,2026-02-15,0.916,0.1473,2.56,60.0,45.0,whole
B01677,SITE_KIT_01,ING_CURRYLEAF,0.687,kg,ZN_COLD,2026-02-12T07:00:00,2026-02-15,0.943,0.1429,2.57,80.0,54.99,whole
B01622,SITE_KIT_01,ING_LEMON,0.137,kg,ZN_COLD,2026-02-09T07:00:00,2026-02-15,0.997,0.5429,2.74,90.0,12.32,whole
B01659,SITE_KIT_01,ING_LEMON,5.0,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-17,0.907,0.2293,4.62,90.0,450.0,whole
B01660,SITE_KIT_01,ING_BEANS,3.879,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-18,0.964,0.1849,5.71,60.0,232.75,whole
B01661,SITE_KIT_01,ING_MUSHROOM,1.773,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-18,0.93,0.1917,5.66,220.0,389.98,whole
B01662,SITE_KIT_01,ING_CUCUMBER,4.206,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-18,0.923,0.1931,5.65,35.0,147.22,whole
B01663,SITE_KIT_01,ING_BANANA,7.792,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-17,0.903,0.2302,4.62,55.0,428.55,whole
B01664,SITE_KIT_01,ING_CHICKEN,12.05,kg,ZN_FREEZE,2026-02-11T07:00:00,2026-02-14,0.946,0.2484,2.25,210.0,2530.5,whole
B01665,SITE_KIT_01,ING_MUTTON,7.3,kg,ZN_FREEZE,2026-02-11T07:00:00,2026-02-14,0.954,0.2464,2.26,720.0,5256.0,whole
B01666,SITE_KIT_01,ING_FISH,4.696,kg,ZN_FREEZE,2026-02-11T07:00:00,2026-02-14,0.95,0.2474,2.26,480.0,2254.08,whole
B01589,SITE_KIT_01,ING_EGG,0.042,kg,ZN_COLD,2026-02-07T07:00:00,2026-02-13,0.902,0.9981,0.01,140.0,5.95,whole
B01667,SITE_KIT_01,ING_EGG,2.991,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-17,0.905,0.2587,4.45,140.0,418.74,whole
B01668,SITE_KIT_01,ING_PANEER,8.179,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-17,0.922,0.254,4.48,380.0,3108.02,whole
B01669,SITE_KIT_01,ING_CURD,11.354,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-17,1.0,0.2341,4.6,70.0,794.81,whole
B01670,SITE_KIT_01,ING_MILK,1.292,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-17,0.846,0.2767,4.34,58.0,74.94,whole
B01671,SITE_KIT_01,ING_CREAM,2.449,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-17,0.896,0.2613,4.43,220.0,538.69,whole
B01672,SITE_KIT_01,ING_BUTTER,2.711,kg,ZN_COLD,2026-02-11T07:00:00,2026-02-17,0.974,0.2403,4.56,520.0,1409.67,whole
B01452,SITE_KIT_01,ING_GHEE,7.066,kg,ZN_DRY,2026-01-31T07:00:00,2026-07-30,0.942,0.0709,167.23,640.0,4522.11,whole
B01595,SITE_KIT_01,ING_GHEE,19.184,kg,ZN_DRY,2026-02-07T07:00:00,2026-08-06,0.999,0.0279,174.97,640.0,12278.02,whole
B01333,SITE_KIT_01,ING_RICE,21.169,kg,ZN_DRY,2026-01-24T07:00:00,2026-07-23,0.854,0.1237,157.73,120.0,2540.28,whole
B01596,SITE_KIT_01,ING_RICE,25.62,kg,ZN_DRY,2026-02-07T07:00:00,2026-08-06,0.995,0.0281,174.95,120.0,3074.4,whole
B01334,SITE_KIT_01,ING_ATTA,20.51,kg,ZN_DRY,2026-01-24T07:00:00,2026-07-23,0.935,0.113,159.65,48.0,984.48,whole
B01597,SITE_KIT_01,ING_ATTA,47.014,kg,ZN_DRY,2026-02-07T07:00:00,2026-08-06,0.973,0.0287,174.84,48.0,2256.67,whole
B01598,SITE_KIT_01,ING_BESAN,4.076,kg,ZN_DRY,2026-02-07T07:00:00,2026-08-06,0.984,0.0284,174.89,90.0,366.84,whole
B01456,SITE_KIT_01,ING_OIL,5.851,kg,ZN_DRY,2026-01-31T07:00:00,2026-07-30,0.891,0.075,166.51,145.0,848.32,whole
B01599,SITE_KIT_01,ING_OIL,2.346,kg,ZN_DRY,2026-02-07T07:00:00,2026-08-06,0.922,0.0303,174.55,145.0,340.17,whole
B01457,SITE_KIT_01,ING_CASHEW,3.269,kg,ZN_DRY,2026-01-31T07:00:00,2026-07-30,0.936,0.0714,167.15,850.0,2778.99,whole
B01600,SITE_KIT_01,ING_CASHEW,3.464,kg,ZN_DRY,2026-02-07T07:00:00,2026-08-06,0.952,0.0293,174.72,850.0,2944.06,whole
B01079,SITE_KIT_01,ING_COCONUT,2.848,kg,ZN_DRY,2026-01-10T07:00:00,2026-07-09,0.898,0.2043,143.23,45.0,128.16,whole
B01601,SITE_KIT_01,ING_COCONUT,1.728,kg,ZN_DRY,2026-02-07T07:00:00,2026-08-06,0.956,0.0292,174.75,45.0,77.76,whole
B01459,SITE_KIT_01,ING_TOORDAL,6.14,kg,ZN_DRY,2026-01-31T07:00:00,2026-07-30,0.894,0.0747,166.55,165.0,1013.1,whole
B01602,SITE_KIT_01,ING_TOORDAL,9.97,kg,ZN_DRY,2026-02-07T07:00:00,2026-08-06,0.904,0.0309,174.45,165.0,1645.05,whole
B01678,SITE_KIT_01,ING_BATTER,3.48,kg,ZN_COLD,2026-02-12T07:00:00,2026-02-14,0.941,0.2149,1.57,70.0,243.6,whole
