recipe_id,product_id,yield_qty,yield_uom,ingredient_product_id,qty,uom,standard_yield_pct
R_DSH_VEGPULAO,DSH_VEGPULAO,1,portion,ING_RICE,0.14300000000000002,kg,1.0
R_DSH_VEGPULAO,DSH_VEGPULAO,1,portion,ING_CARROT,0.039,kg,0.88
R_DSH_VEGPULAO,DSH_VEGPULAO,1,portion,ING_PEAS,0.026000000000000002,kg,1.0
R_DSH_VEGPULAO,DSH_VEGPULAO,1,portion,ING_BEANS,0.026000000000000002,kg,0.9
R_DSH_VEGPULAO,DSH_VEGPULAO,1,portion,ING_CAPSICUM,0.026000000000000002,kg,0.83
R_DSH_VEGPULAO,DSH_VEGPULAO,1,portion,ING_ONION,0.039,kg,0.92
R_DSH_VEGPULAO,DSH_VEGPULAO,1,portion,ING_GHEE,0.013000000000000001,kg,1.0
R_DSH_DOSA,DSH_DOSA,1,portion,ING_BATTER,0.20800000000000002,kg,1.0
R_DSH_DOSA,DSH_DOSA,1,portion,ING_POTATO,0.11699999999999999,kg,0.87
R_DSH_DOSA,DSH_DOSA,1,portion,ING_ONION,0.039,kg,0.92
R_DSH_DOSA,DSH_DOSA,1,portion,ING_CURRYLEAF,0.0026000000000000003,kg,0.9
R_DSH_DOSA,DSH_DOSA,1,portion,ING_GCHILLI,0.0039000000000000003,kg,0.94
R_DSH_DOSA,DSH_DOSA,1,portion,ING_OIL,0.0195,kg,1.0
R_DSH_MIXVEG,DSH_MIXVEG,1,portion,ING_CAULI,0.052000000000000005,kg,0.58
R_DSH_MIXVEG,DSH_MIXVEG,1,portion,ING_CARROT,0.039,kg,0.88
R_DSH_MIXVEG,DSH_MIXVEG,1,portion,ING_BEANS,0.0325,kg,0.9
R_DSH_MIXVEG,DSH_MIXVEG,1,portion,ING_PEAS,0.026000000000000002,kg,1.0
R_DSH_MIXVEG,DSH_MIXVEG,1,portion,ING_POTATO,0.039,kg,0.87
R_DSH_MIXVEG,DSH_MIXVEG,1,portion,ING_CAPSICUM,0.026000000000000002,kg,0.83
R_DSH_MIXVEG,DSH_MIXVEG,1,portion,ING_TOMATO,0.052000000000000005,kg,0.97
R_DSH_MIXVEG,DSH_MIXVEG,1,portion,ING_ONION,0.039,kg,0.92
R_DSH_MIXVEG,DSH_MIXVEG,1,portion,ING_CREAM,0.010400000000000001,kg,1.0
R_DSH_FISHCURRY,DSH_FISHCURRY,1,portion,ING_FISH,0.20800000000000002,kg,1.0
R_DSH_FISHCURRY,DSH_FISHCURRY,1,portion,ING_COCONUT,0.052000000000000005,kg,1.0
R_DSH_FISHCURRY,DSH_FISHCURRY,1,portion,ING_TOMATO,0.052000000000000005,kg,0.97
R_DSH_FISHCURRY,DSH_FISHCURRY,1,portion,ING_ONION,0.052000000000000005,kg,0.92
R_DSH_FISHCURRY,DSH_FISHCURRY,1,portion,ING_CURRYLEAF,0.0026000000000000003,kg,0.9
R_DSH_FISHCURRY,DSH_FISHCURRY,1,portion,ING_GCHILLI,0.005200000000000001,kg,0.94
R_DSH_FISHCURRY,DSH_FISHCURRY,1,portion,ING_LEMON,0.006500000000000001,kg,0.55
R_DSH_SIDES,DSH_SIDES,1,portion,ING_CUCUMBER,0.015600000000000001,kg,0.85
R_DSH_SIDES,DSH_SIDES,1,portion,ING_CABBAGE,0.010400000000000001,kg,0.88
R_DSH_SIDES,DSH_SIDES,1,portion,ING_CARROT,0.005200000000000001,kg,0.88
R_DSH_SIDES,DSH_SIDES,1,portion,ING_BANANA,0.013000000000000001,kg,0.68
R_DSH_SIDES,DSH_SIDES,1,portion,ING_LEMON,0.0039000000000000003,kg,0.55
R_DSH_SIDES,DSH_SIDES,1,portion,ING_EGG,0.0117,kg,1.0
R_DSH_SIDES,DSH_SIDES,1,portion,ING_BRINJAL,0.0143,kg,0.88
R_DSH_SIDES,DSH_SIDES,1,portion,ING_OKRA,0.0169,kg,0.9
R_DSH_SIDES,DSH_SIDES,1,portion,ING_MUSHROOM,0.005200000000000001,kg,0.95
R_DSH_SIDES,DSH_SIDES,1,portion,ING_CURD,0.0195,kg,1.0
R_DSH_SIDES,DSH_SIDES,1,portion,ING_ONION,0.0078000000000000005,kg,0.92
