batch_id,site_id,product_id,lot_code,received_at,printed_expiry,qty_received,uom,storage_zone_id,dock_dwell_hours,intake_grade,unit_cost,state
B00014,SITE_KIT_01,ING_OKRA,LOT-B00014,2025-11-15T07:00:00,2025-11-22,20.0,kg,ZN_COLD,0.5,0.951,55.0,whole
B00015,SITE_KIT_01,ING_PEAS,LOT-B00015,2025-11-15T07:00:00,2025-11-22,8.969,kg,ZN_COLD,0.5,0.925,90.0,whole
B00016,SITE_KIT_01,ING_MINT,LOT-B00016,2025-11-15T07:00:00,2025-11-18,1.106,kg,ZN_COLD,0.5,0.914,60.0,whole
B00017,SITE_KIT_01,ING_CURRYLEAF,LOT-B00017,2025-11-15T07:00:00,2025-11-18,0.75,kg,ZN_COLD,0.5,0.906,80.0,whole
B00018,SITE_KIT_01,ING_LEMON,LOT-B00018,2025-11-15T07:00:00,2025-11-21,7.0,kg,ZN_COLD,0.5,1.0,90.0,whole
B00019,SITE_KIT_01,ING_BEANS,LOT-B00019,2025-11-15T07:00:00,2025-11-22,14.0,kg,ZN_COLD,0.5,0.916,60.0,whole
B00020,SITE_KIT_01,ING_MUSHROOM,LOT-B00020,2025-11-15T07:00:00,2025-11-22,4.0,kg,ZN_COLD,0.5,0.937,220.0,whole
B00021,SITE_KIT_01,ING_CUCUMBER,LOT-B00021,2025-11-15T07:00:00,2025-11-22,13.0,kg,ZN_COLD,0.5,0.877,35.0,whole
B00022,SITE_KIT_01,ING_BANANA,LOT-B00022,2025-11-15T07:00:00,2025-11-21,10.866,kg,ZN_COLD,0.5,1.0,55.0,whole
B00023,SITE_KIT_01,ING_CHICKEN,LOT-B00023,2025-11-15T07:00:00,2025-11-18,38.0,kg,ZN_FREEZE,0.5,0.857,210.0,whole
B00024,SITE_KIT_01,ING_MUTTON,LOT-B00024,2025-11-15T07:00:00,2025-11-18,23.0,kg,ZN_FREEZE,0.5,1.0,720.0,whole
B00025,SITE_KIT_01,ING_FISH,LOT-B00025,2025-11-15T07:00:00,2025-11-18,17.0,kg,ZN_FREEZE,0.5,1.0,480.0,whole
B00026,SITE_KIT_01,ING_EGG,LOT-B00026,2025-11-15T07:00:00,2025-11-21,7.0,kg,ZN_COLD,0.5,0.89,140.0,whole
B00027,SITE_KIT_01,ING_PANEER,LOT-B00027,2025-11-15T07:00:00,2025-11-21,35.0,kg,ZN_COLD,0.5,0.98,380.0,whole
B00028,SITE_KIT_01,ING_CURD,LOT-B00028,2025-11-15T07:00:00,2025-11-21,33.0,kg,ZN_COLD,0.5,0.989,70.0,whole
B00029,SITE_KIT_01,ING_MILK,LOT-B00029,2025-11-15T07:00:00,2025-11-21,7.0,kg,ZN_COLD,0.5,0.894,58.0,whole
B00030,SITE_KIT_01,ING_CREAM,LOT-B00030,2025-11-15T07:00:00,2025-11-21,8.0,kg,ZN_COLD,0.5,0.951,220.0,whole
B00031,SITE_KIT_01,ING_BUTTER,LOT-B00031,2025-11-15T07:00:00,2025-11-21,8.0,kg,ZN_COLD,0.5,0.896,520.0,whole
B00032,SITE_KIT_01,ING_GHEE,LOT-B00032,2025-11-15T07:00:00,2026-05-14,40.0,kg,ZN_DRY,0.5,1.0,640.0,whole
B00033,SITE_KIT_01,ING_RICE,LOT-B00033,2025-11-15T07:00:00,2026-05-14,295.0,kg,ZN_DRY,0.5,1.0,120.0,whole
B00034,SITE_KIT_01,ING_ATTA,LOT-B00034,2025-11-15T07:00:00,2026-05-14,200.0,kg,ZN_DRY,0.5,1.0,48.0,whole
B00035,SITE_KIT_01,ING_BESAN,LOT-B00035,2025-11-15T07:00:00,2026-05-14,15.0,kg,ZN_DRY,0.5,0.886,90.0,whole
B00036,SITE_KIT_01,ING_OIL,LOT-B00036,2025-11-15T07:00:00,2026-05-14,25.0,kg,ZN_DRY,0.5,0.885,145.0,whole
B00037,SITE_KIT_01,ING_CASHEW,LOT-B00037,2025-11-15T07:00:00,2026-05-14,15.0,kg,ZN_DRY,0.5,1.0,850.0,whole
B00038,SITE_KIT_01,ING_COCONUT,LOT-B00038,2025-11-15T07:00:00,2026-05-14,15.0,kg,ZN_DRY,0.5,0.973,45.0,whole
B00039,SITE_KIT_01,ING_TOORDAL,LOT-B00039,2025-11-15T07:00:00,2026-05-14,80.0,kg,ZN_DRY,0.5,0.959,165.0,whole
B00040,SITE_KIT_01,ING_BATTER,LOT-B00040,2025-11-15T07:00:00,2025-11-17,19.0,kg,ZN_COLD,0.5,0.927,70.0,whole
B00041,SITE_KIT_01,ING_SPINACH,LOT-B00041,2025-11-16T07:00:00,2025-11-20,11.0,kg,ZN_COLD,0.5,0.811,30.0,whole
B00042,SITE_KIT_01,ING_CORIANDER,LOT-B00042,2025-11-16T07:00:00,2025-11-19,1.75,kg,ZN_COLD,0.5,0.896,60.0,whole
B00043,SITE_KIT_01,ING_MINT,LOT-B00043,2025-11-16T07:00:00,2025-11-19,0.75,kg,ZN_COLD,0.5,0.991,60.0,whole
B00044,SITE_KIT_01,ING_CURRYLEAF,LOT-B00044,2025-11-16T07:00:00,2025-11-19,0.75,kg,ZN_COLD,0.5,0.957,80.0,whole
B00045,SITE_KIT_01,ING_BATTER,LOT-B00045,2025-11-16T07:00:00,2025-11-18,16.0,kg,ZN_COLD,0.5,0.967,70.0,whole
B00046,SITE_KIT_01,ING_TOMATO,LOT-B00046,2025-11-17T07:00:00,2025-11-24,52.0,kg,ZN_COLD,0.5,0.936,32.0,whole
B00047,SITE_KIT_01,ING_CAULI,LOT-B00047,2025-11-17T07:00:00,2025-11-27,63.0,kg,ZN_COLD,0.5,0.794,40.0,whole
B00048,SITE_KIT_01,ING_SPINACH,LOT-B00048,2025-11-17T07:00:00,2025-11-21,11.0,kg,ZN_COLD,0.5,0.981,30.0,whole
B00049,SITE_KIT_01,ING_CORIANDER,LOT-B00049,2025-11-17T07:00:00,2025-11-20,1.665,kg,ZN_COLD,0.5,0.901,60.0,whole
B00050,SITE_KIT_01,ING_GCHILLI,LOT-B00050,2025-11-17T07:00:00,2025-11-24,4.0,kg,ZN_COLD,0.5,0.972,70.0,whole
B00051,SITE_KIT_01,ING_CARROT,LOT-B00051,2025-11-17T07:00:00,2025-11-27,15.0,kg,ZN_COLD,0.5,0.992,45.0,whole
B00052,SITE_KIT_01,ING_CAPSICUM,LOT-B00052,2025-11-17T07:00:00,2025-11-24,12.0,kg,ZN_COLD,0.5,0.966,80.0,whole
B00053,SITE_KIT_01,ING_CABBAGE,LOT-B00053,2025-11-17T07:00:00,2025-11-27,5.305,kg,ZN_COLD,0.5,0.935,25.0,whole
B00054,SITE_KIT_01,ING_BRINJAL,LOT-B00054,2025-11-17T07:00:00,2025-11-24,9.0,kg,ZN_COLD,0.5,0.945,40.0,whole
B00055,SITE_KIT_01,ING_OKRA,LOT-B00055,2025-11-17T07:00:00,2025-11-24,4.0,kg,ZN_COLD,0.5,0.942,55.0,whole
B00056,SITE_KIT_01,ING_PEAS,LOT-B00056,2025-11-17T07:00:00,2025-11-24,7.0,kg,ZN_COLD,0.5,0.925,90.0,whole
B00057,SITE_KIT_01,ING_MINT,LOT-B00057,2025-11-17T07:00:00,2025-11-20,0.75,kg,ZN_COLD,0.5,1.0,60.0,whole
B00058,SITE_KIT_01,ING_CURRYLEAF,LOT-B00058,2025-11-17T07:00:00,2025-11-20,1.0,kg,ZN_COLD,0.5,0.974,80.0,whole
B00059,SITE_KIT_01,ING_LEMON,LOT-B00059,2025-11-17T07:00:00,2025-11-23,5.0,kg,ZN_COLD,0.5,0.962,90.0,whole
B00060,SITE_KIT_01,ING_BEANS,LOT-B00060,2025-11-17T07:00:00,2025-11-24,8.0,kg,ZN_COLD,0.5,0.983,60.0,whole
B00061,SITE_KIT_01,ING_MUSHROOM,LOT-B00061,2025-11-17T07:00:00,2025-11-24,3.0,kg,ZN_COLD,0.5,0.913,220.0,whole
B00062,SITE_KIT_01,ING_CUCUMBER,LOT-B00062,2025-11-17T07:00:00,2025-11-24,10.0,kg,ZN_COLD,0.5,0.866,35.0,whole
B00063,SITE_KIT_01,ING_BANANA,LOT-B00063,2025-11-17T07:00:00,2025-11-23,13.0,kg,ZN_COLD,0.5,0.987,55.0,whole
B00064,SITE_KIT_01,ING_CHICKEN,LOT-B00064,2025-11-17T07:00:00,2025-11-20,31.0,kg,ZN_FREEZE,0.5,0.892,210.0,whole
B00065,SITE_KIT_01,ING_MUTTON,LOT-B00065,2025-11-17T07:00:00,2025-11-20,15.0,kg,ZN_FREEZE,0.5,0.996,720.0,whole
B00066,SITE_KIT_01,ING_FISH,LOT-B00066,2025-11-17T07:00:00,2025-11-20,14.0,kg,ZN_FREEZE,0.5,0.975,480.0,whole
B00067,SITE_KIT_01,ING_EGG,LOT-B00067,2025-11-17T07:00:00,2025-11-23,7.0,kg,ZN_COLD,0.5,0.995,140.0,whole
B00068,SITE_KIT_01,ING_PANEER,LOT-B00068,2025-11-17T07:00:00,2025-11-23,30.0,kg,ZN_COLD,0.5,0.951,380.0,whole
B00069,SITE_KIT_01,ING_CURD,LOT-B00069,2025-11-17T07:00:00,2025-11-23,24.0,kg,ZN_COLD,0.5,0.953,70.0,whole
B00070,SITE_KIT_01,ING_MILK,LOT-B00070,2025-11-17T07:00:00,2025-11-23,4.0,kg,ZN_COLD,0.5,0.903,58.0,whole
B00071,SITE_KIT_01,ING_CREAM,LOT-B00071,2025-11-17T07:00:00,2025-11-23,8.0,kg,ZN_COLD,0.5,0.923,220.0,whole
B00072,SITE_KIT_01,ING_BUTTER,LOT-B00072,2025-11-17T07:00:00,2025-11-23,7.0,kg,ZN_COLD,0.5,0.986,520.0,whole
B00073,SITE_KIT_01,ING_BATTER,LOT-B00073,2025-11-17T07:00:00,2025-11-19,14.0,kg,ZN_COLD,0.5,0.95,70.0,whole
B00074,SITE_KIT_01,ING_SPINACH,LOT-B00074,2025-11-18T07:00:00,2025-11-22,9.0,kg,ZN_COLD,0.5,0.934,30.0,whole
B00075,SITE_KIT_01,ING_CORIANDER,LOT-B00075,2025-11-18T07:00:00,2025-11-21,1.5,kg,ZN_COLD,0.5,0.93,60.0,whole
B00076,SITE_KIT_01,ING_MINT,LOT-B00076,2025-11-18T07:00:00,2025-11-21,0.75,kg,ZN_COLD,0.5,0.912,60.0,whole
B00077,SITE_KIT_01,ING_CURRYLEAF,LOT-B00077,2025-11-18T07:00:00,2025-11-21,0.5,kg,ZN_COLD,0.5,0.912,80.0,whole
B00078,SITE_KIT_01,ING_BATTER,LOT-B00078,2025-11-18T07:00:00,2025-11-20,14.0,kg,ZN_COLD,0.5,0.933,70.0,whole
B00079,SITE_KIT_01,ING_TOMATO,LOT-B00079,2025-11-19T07:00:00,2025-11-26,23.0,kg,ZN_COLD,0.5,0.933,32.0,whole
B00080,SITE_KIT_01,ING_ONION,LOT-B00080,2025-11-19T07:00:00,2025-12-19,67.945,kg,ZN_DRY,0.5,0.921,38.0,whole
B00081,SITE_KIT_01,ING_POTATO,LOT-B00081,2025-11-19T07:00:00,2025-12-19,40.0,kg,ZN_DRY,0.5,0.99,28.0,whole
B00082,SITE_KIT_01,ING_CAULI,LOT-B00082,2025-11-19T07:00:00,2025-11-29,27.0,kg,ZN_COLD,0.5,0.979,40.0,whole
B00083,SITE_KIT_01,ING_SPINACH,LOT-B00083,2025-11-19T07:00:00,2025-11-23,9.0,kg,ZN_COLD,0.5,0.903,30.0,whole
B00084,SITE_KIT_01,ING_CORIANDER,LOT-B00084,2025-11-19T07:00:00,2025-11-22,1.25,kg,ZN_COLD,0.5,0.956,60.0,whole
B00085,SITE_KIT_01,ING_GINGER,LOT-B00085,2025-11-19T07:00:00,2025-12-19,4.0,kg,ZN_DRY,0.5,0.925,120.0,whole
B00086,SITE_KIT_01,ING_GARLIC,LOT-B00086,2025-11-19T07:00:00,2025-12-19,6.0,kg,ZN_DRY,0.5,1.0,180.0,whole
B00087,SITE_KIT_01,ING_CARROT,LOT-B00087,2025-11-19T07:00:00,2025-11-29,8.0,kg,ZN_COLD,0.5,1.0,45.0,whole
B00088,SITE_KIT_01,ING_CABBAGE,LOT-B00088,2025-11-19T07:00:00,2025-11-29,3.0,kg,ZN_COLD,0.5,0.909,25.0,whole
B00089,SITE_KIT_01,ING_BRINJAL,LOT-B00089,2025-11-19T07:00:00,2025-11-26,5.684,kg,ZN_COLD,0.5,0.91,40.0,whole
B00090,SITE_KIT_01,ING_OKRA,LOT-B00090,2025-11-19T07:00:00,2025-11-26,4.0,kg,ZN_COLD,0.5,0.935,55.0,whole
B00091,SITE_KIT_01,ING_PEAS,LOT-B00091,2025-11-19T07:00:00,2025-11-26,2.649,kg,ZN_COLD,0.5,0.992,90.0,whole
B00092,SITE_KIT_01,ING_MINT,LOT-B00092,2025-11-19T07:00:00,2025-11-22,0.704,kg,ZN_COLD,0.5,0.954,60.0,whole
B00093,SITE_KIT_01,ING_CURRYLEAF,LOT-B00093,2025-11-19T07:00:00,2025-11-22,0.5,kg,ZN_COLD,0.5,0.968,80.0,whole
B00094,SITE_KIT_01,ING_LEMON,LOT-B00094,2025-11-19T07:00:00,2025-11-25,4.0,kg,ZN_COLD,0.5,0.943,90.0,whole
B00095,SITE_KIT_01,ING_BEANS,LOT-B00095,2025-11-19T07:00:00,2025-11-26,2.652,kg,ZN_COLD,0.5,0.89,60.0,whole
B00096,SITE_KIT_01,ING_MUSHROOM,LOT-B00096,2025-11-19T07:00:00,2025-11-26,0.915,kg,ZN_COLD,0.5,1.0,220.0,whole
B00097,SITE_KIT_01,ING_CUCUMBER,LOT-B00097,2025-11-19T07:00:00,2025-11-26,3.751,kg,ZN_COLD,0.5,0.912,35.0,whole
B00098,SITE_KIT_01,ING_BANANA,LOT-B00098,2025-11-19T07:00:00,2025-11-25,7.951,kg,ZN_COLD,0.5,0.951,55.0,whole
B00099,SITE_KIT_01,ING_CHICKEN,LOT-B00099,2025-11-19T07:00:00,2025-11-22,13.0,kg,ZN_FREEZE,0.5,0.901,210.0,whole
B00100,SITE_KIT_01,ING_MUTTON,LOT-B00100,2025-11-19T07:00:00,2025-11-22,6.0,kg,ZN_FREEZE,0.5,0.873,720.0,whole
B00101,SITE_KIT_01,ING_FISH,LOT-B00101,2025-11-19T07:00:00,2025-11-22,6.0,kg,ZN_FREEZE,0.5,0.883,480.0,whole
B00102,SITE_KIT_01,ING_EGG,LOT-B00102,2025-11-19T07:00:00,2025-11-25,3.0,kg,ZN_COLD,0.5,1.0,140.0,whole
B00103,SITE_KIT_01,ING_PANEER,LOT-B00103,2025-11-19T07:00:00,2025-11-25,14.0,kg,ZN_COLD,0.5,0.877,380.0,whole
B00104,SITE_KIT_01,ING_CURD,LOT-B00104,2025-11-19T07:00:00,2025-11-25,9.0,kg,ZN_COLD,0.5,0.92,70.0,whole
B00105,SITE_KIT_01,ING_MILK,LOT-B00105,2025-11-19T07:00:00,2025-11-25,2.0,kg,ZN_COLD,0.5,0.895,58.0,whole
B00106,SITE_KIT_01,ING_CREAM,LOT-B00106,2025-11-19T07:00:00,2025-11-25,1.0,kg,ZN_COLD,0.5,0.823,220.0,whole
B00107,SITE_KIT_01,ING_BUTTER,LOT-B00107,2025-11-19T07:00:00,2025-11-25,3.0,kg,ZN_COLD,0.5,0.906,520.0,whole
B00108,SITE_KIT_01,ING_BATTER,LOT-B00108,2025-11-19T07:00:00,2025-11-21,21.0,kg,ZN_COLD,0.5,0.982,70.0,whole
B00109,SITE_KIT_01,ING_SPINACH,LOT-B00109,2025-11-20T07:00:00,2025-11-24,8.0,kg,ZN_COLD,0.5,0.986,30.0,whole
B00110,SITE_KIT_01,ING_CORIANDER,LOT-B00110,2025-11-20T07:00:00,2025-11-23,1.25,kg,ZN_COLD,0.5,0.838,60.0,whole
B00111,SITE_KIT_01,ING_MINT,LOT-B00111,2025-11-20T07:00:00,2025-11-23,0.75,kg,ZN_COLD,0.5,0.898,60.0,whole
B00112,SITE_KIT_01,ING_CURRYLEAF,LOT-B00112,2025-11-20T07:00:00,2025-11-23,0.75,kg,ZN_COLD,0.5,0.892,80.0,whole
B00113,SITE_KIT_01,ING_BATTER,LOT-B00113,2025-11-20T07:00:00,2025-11-22,15.0,kg,ZN_COLD,0.5,0.968,70.0,whole
B00114,SITE_KIT_01,ING_TOMATO,LOT-B00114,2025-11-21T07:00:00,2025-11-28,30.0,kg,ZN_COLD,0.5,0.949,32.0,whole
B00115,SITE_KIT_01,ING_CAULI,LOT-B00115,2025-11-21T07:00:00,2025-12-01,34.0,kg,ZN_COLD,0.5,1.0,40.0,whole
B00116,SITE_KIT_01,ING_SPINACH,LOT-B00116,2025-11-21T07:00:00,2025-11-25,14.0,kg,ZN_COLD,0.5,0.976,30.0,whole
B00117,SITE_KIT_01,ING_CORIANDER,LOT-B00117,2025-11-21T07:00:00,2025-11-24,1.25,kg,ZN_COLD,0.5,1.0,60.0,whole
B00118,SITE_KIT_01,ING_GCHILLI,LOT-B00118,2025-11-21T07:00:00,2025-11-28,2.0,kg,ZN_COLD,0.5,0.828,70.0,whole
B00119,SITE_KIT_01,ING_CARROT,LOT-B00119,2025-11-21T07:00:00,2025-12-01,9.0,kg,ZN_COLD,0.5,1.0,45.0,whole
B00120,SITE_KIT_01,ING_CAPSICUM,LOT-B00120,2025-11-21T07:00:00,2025-11-28,4.0,kg,ZN_COLD,0.5,0.995,80.0,whole
B00121,SITE_KIT_01,ING_CABBAGE,LOT-B00121,2025-11-21T07:00:00,2025-12-01,4.0,kg,ZN_COLD,0.5,0.976,25.0,whole
B00122,SITE_KIT_01,ING_BRINJAL,LOT-B00122,2025-11-21T07:00:00,2025-11-28,4.0,kg,ZN_COLD,0.5,0.828,40.0,whole
B00123,SITE_KIT_01,ING_OKRA,LOT-B00123,2025-11-21T07:00:00,2025-11-28,4.413,kg,ZN_COLD,0.5,0.962,55.0,whole
B00124,SITE_KIT_01,ING_PEAS,LOT-B00124,2025-11-21T07:00:00,2025-11-28,5.0,kg,ZN_COLD,0.5,0.965,90.0,whole
B00125,SITE_KIT_01,ING_MINT,LOT-B00125,2025-11-21T07:00:00,2025-11-24,0.448,kg,ZN_COLD,0.5,0.861,60.0,whole
B00126,SITE_KIT_01,ING_CURRYLEAF,LOT-B00126,2025-11-21T07:00:00,2025-11-24,0.5,kg,ZN_COLD,0.5,0.939,80.0,whole
B00127,SITE_KIT_01,ING_LEMON,LOT-B00127,2025-11-21T07:00:00,2025-11-27,4.0,kg,ZN_COLD,0.5,0.961,90.0,whole
B00128,SITE_KIT_01,ING_BEANS,LOT-B00128,2025-11-21T07:00:00,2025-11-28,5.0,kg,ZN_COLD,0.5,1.0,60.0,whole
B00129,SITE_KIT_01,ING_MUSHROOM,LOT-B00129,2025-11-21T07:00:00,2025-11-28,2.0,kg,ZN_COLD,0.5,1.0,220.0,whole
B00130,SITE_KIT_01,ING_CUCUMBER,LOT-B00130,2025-11-21T07:00:00,2025-11-28,6.0,kg,ZN_COLD,0.5,0.856,35.0,whole
B00131,SITE_KIT_01,ING_BANANA,LOT-B00131,2025-11-21T07:00:00,2025-11-27,8.49,kg,ZN_COLD,0.5,0.938,55.0,whole
B00132,SITE_KIT_01,ING_CHICKEN,LOT-B00132,2025-11-21T07:00:00,2025-11-24,17.0,kg,ZN_FREEZE,0.5,0.877,210.0,whole
B00133,SITE_KIT_01,ING_MUTTON,LOT-B00133,2025-11-21T07:00:00,2025-11-24,7.0,kg,ZN_FREEZE,0.5,0.948,720.0,whole
B00134,SITE_KIT_01,ING_FISH,LOT-B00134,2025-11-21T07:00:00,2025-11-24,7.0,kg,ZN_FREEZE,0.5,0.999,480.0,whole
B00135,SITE_KIT_01,ING_EGG,LOT-B00135,2025-11-21T07:00:00,2025-11-27,3.0,kg,ZN_COLD,0.5,1.0,140.0,whole
B00136,SITE_KIT_01,ING_PANEER,LOT-B00136,2025-11-21T07:00:00,2025-11-27,16.0,kg,ZN_COLD,0.5,0.919,380.0,whole
B00137,SITE_KIT_01,ING_CURD,LOT-B00137,2025-11-21T07:00:00,2025-11-27,13.0,kg,ZN_COLD,0.5,0.974,70.0,whole
B00138,SITE_KIT_01,ING_MILK,LOT-B00138,2025-11-21T07:00:00,2025-11-27,2.0,kg,ZN_COLD,0.5,0.948,58.0,whole
B00139,SITE_KIT_01,ING_CREAM,LOT-B00139,2025-11-21T07:00:00,2025-11-27,3.0,kg,ZN_COLD,0.5,0.944,220.0,whole
B00140,SITE_KIT_01,ING_BUTTER,LOT-B00140,2025-11-21T07:00:00,2025-11-27,4.0,kg,ZN_COLD,0.5,0.968,520.0,whole
B00141,SITE_KIT_01,ING_BATTER,LOT-B00141,2025-11-21T07:00:00,2025-11-23,13.0,kg,ZN_COLD,0.5,0.935,70.0,whole
B00142,SITE_KIT_01,ING_SPINACH,LOT-B00142,2025-11-22T07:00:00,2025-11-26,9.0,kg,ZN_COLD,0.5,0.994,30.0,whole
B00143,SITE_KIT_01,ING_CORIANDER,LOT-B00143,2025-11-22T07:00:00,2025-11-25,1.103,kg,ZN_COLD,0.5,0.918,60.0,whole
B00144,SITE_KIT_01,ING_MINT,LOT-B00144,2025-11-22T07:00:00,2025-11-25,0.75,kg,ZN_COLD,0.5,1.0,60.0,whole
B00145,SITE_KIT_01,ING_CURRYLEAF,LOT-B00145,2025-11-22T07:00:00,2025-11-25,0.5,kg,ZN_COLD,0.5,1.0,80.0,whole
B00146,SITE_KIT_01,ING_GHEE,LOT-B00146,2025-11-22T07:00:00,2026-05-21,15.0,kg,ZN_DRY,0.5,0.957,640.0,whole
B00147,SITE_KIT_01,ING_RICE,LOT-B00147,2025-11-22T07:00:00,2026-05-21,100.0,kg,ZN_DRY,0.5,0.998,120.0,whole
B00148,SITE_KIT_01,ING_ATTA,LOT-B00148,2025-11-22T07:00:00,2026-05-21,110.0,kg,ZN_DRY,0.5,1.0,48.0,whole
B00149,SITE_KIT_01,ING_BESAN,LOT-B00149,2025-11-22T07:00:00,2026-05-21,5.0,kg,ZN_DRY,0.5,1.0,90.0,whole
B00150,SITE_KIT_01,ING_OIL,LOT-B00150,2025-11-22T07:00:00,2026-05-21,15.0,kg,ZN_DRY,0.5,0.915,145.0,whole
B00151,SITE_KIT_01,ING_CASHEW,LOT-B00151,2025-11-22T07:00:00,2026-05-21,5.0,kg,ZN_DRY,0.5,0.937,850.0,whole
B00152,SITE_KIT_01,ING_COCONUT,LOT-B00152,2025-11-22T07:00:00,2026-05-21,10.0,kg,ZN_DRY,0.5,0.907,45.0,whole
B00153,SITE_KIT_01,ING_BATTER,LOT-B00153,2025-11-22T07:00:00,2025-11-24,14.0,kg,ZN_COLD,0.5,0.957,70.0,whole
B00154,SITE_KIT_01,ING_TOMATO,LOT-B00154,2025-11-23T07:00:00,2025-11-30,43.0,kg,ZN_COLD,0.5,0.923,32.0,whole
B00155,SITE_KIT_01,ING_ONION,LOT-B00155,2025-11-23T07:00:00,2025-12-23,108.0,kg,ZN_DRY,0.5,0.868,38.0,whole
B00156,SITE_KIT_01,ING_POTATO,LOT-B00156,2025-11-23T07:00:00,2025-12-23,46.0,kg,ZN_DRY,0.5,0.943,28.0,whole
B00157,SITE_KIT_01,ING_CAULI,LOT-B00157,2025-11-23T07:00:00,2025-12-03,56.0,kg,ZN_COLD,0.5,1.0,40.0,whole
B00158,SITE_KIT_01,ING_SPINACH,LOT-B00158,2025-11-23T07:00:00,2025-11-27,9.0,kg,ZN_COLD,0.5,1.0,30.0,whole
B00159,SITE_KIT_01,ING_CORIANDER,LOT-B00159,2025-11-23T07:00:00,2025-11-26,1.25,kg,ZN_COLD,0.5,0.863,60.0,whole
B00160,SITE_KIT_01,ING_GCHILLI,LOT-B00160,2025-11-23T07:00:00,2025-11-30,3.0,kg,ZN_COLD,0.5,0.88,70.0,whole
B00161,SITE_KIT_01,ING_GINGER,LOT-B00161,2025-11-23T07:00:00,2025-12-23,4.0,kg,ZN_DRY,0.5,0.968,120.0,whole
B00162,SITE_KIT_01,ING_GARLIC,LOT-B00162,2025-11-23T07:00:00,2025-12-23,4.0,kg,ZN_DRY,0.5,0.917,180.0,whole
B00163,SITE_KIT_01,ING_CARROT,LOT-B00163,2025-11-23T07:00:00,2025-12-03,11.451,kg,ZN_COLD,0.5,0.936,45.0,whole
B00164,SITE_KIT_01,ING_CAPSICUM,LOT-B00164,2025-11-23T07:00:00,2025-11-30,8.0,kg,ZN_COLD,0.5,0.949,80.0,whole
B00165,SITE_KIT_01,ING_CABBAGE,LOT-B00165,2025-11-23T07:00:00,2025-12-03,6.0,kg,ZN_COLD,0.5,0.982,25.0,whole
B00166,SITE_KIT_01,ING_BRINJAL,LOT-B00166,2025-11-23T07:00:00,2025-11-30,7.0,kg,ZN_COLD,0.5,0.906,40.0,whole
B00167,SITE_KIT_01,ING_OKRA,LOT-B00167,2025-11-23T07:00:00,2025-11-30,10.0,kg,ZN_COLD,0.5,1.0,55.0,whole
B00168,SITE_KIT_01,ING_PEAS,LOT-B00168,2025-11-23T07:00:00,2025-11-30,5.0,kg,ZN_COLD,0.5,1.0,90.0,whole
B00169,SITE_KIT_01,ING_MINT,LOT-B00169,2025-11-23T07:00:00,2025-11-26,1.0,kg,ZN_COLD,0.5,0.925,60.0,whole
B00170,SITE_KIT_01,ING_CURRYLEAF,LOT-B00170,2025-11-23T07:00:00,2025-11-26,0.5,kg,ZN_COLD,0.5,0.996,80.0,whole
B00171,SITE_KIT_01,ING_LEMON,LOT-B00171,2025-11-23T07:00:00,2025-11-29,4.0,kg,ZN_COLD,0.5,0.938,90.0,whole
