site_id,business_date,dow,is_holiday,festival,weather_code,temp_max_c,promo_flag,covers
SITE_KIT_01,2026-01-25,6,0,,clear,27.3,0,272
SITE_KIT_01,2026-01-26,0,1,republic_day,cloudy,23.3,1,222
SITE_KIT_01,2026-01-27,1,0,,clear,25.5,1,190
SITE_KIT_01,2026-01-28,2,0,,rain,25.8,1,165
SITE_KIT_01,2026-01-29,3,0,,clear,28.6,0,203
SITE_KIT_01,2026-01-30,4,0,,clear,26.6,0,270
SITE_KIT_01,2026-01-31,5,0,,clear,24.3,0,299
SITE_KIT_01,2026-02-01,6,0,,clear,26.9,0,272
SITE_KIT_01,2026-02-02,0,0,,cloudy,27.3,1,182
SITE_KIT_01,2026-02-03,1,0,,cloudy,26.3,1,186
SITE_KIT_01,2026-02-04,2,0,,clear,25.7,1,196
SITE_KIT_01,2026-02-05,3,0,,clear,30.7,0,200
SITE_KIT_01,2026-02-06,4,0,,cloudy,28.7,0,275
SITE_KIT_01,2026-02-07,5,0,,cloudy,28.9,0,302
SITE_KIT_01,2026-02-08,6,0,weekend_special,cloudy,27.2,0,293
SITE_KIT_01,2026-02-09,0,0,,cloudy,26.5,1,187
SITE_KIT_01,2026-02-10,1,0,,clear,26.9,1,187
SITE_KIT_01,2026-02-11,2,0,,clear,25.7,1,188
SITE_KIT_01,2026-02-12,3,0,,clear,30.3,0,208
SITE_KIT_01,2026-02-13,4,0,,clear,27.7,0,
